Symbol,Date,Low,High,Open,Close,Volume,VolumeScaledNormalized,CloseDiff,WeekDiff,Sector,Label
VLO,2017-11-10,80.71,81.45,80.96,81.37,2473887.0,0.6477260603384984,0.0900000000000034,0.5700000000000074,Energy,1
SYMC,2017-11-10,27.99,28.44,28.41,28.35,4592861.0,0.6749489329814715,-0.2399999999999984,-3.5699999999999967,Information Technology,0
VAR,2017-11-10,106.83,108.13,107.23,107.55,682579.0,0.5910697127532665,-0.1400000000000005,3.469999999999999,Health Care,0
ARNC,2017-11-10,24.2,24.565,24.39,24.24,2386115.0,0.6461366290832177,-0.2100000000000008,-0.6099999999999994,Industrials,0
COG,2017-11-10,28.3,29.06,28.31,28.99,6005335.0,0.6867471109442232,0.4299999999999997,0.6980000000000004,Energy,1
CSRA,2017-11-10,28.72,29.075,28.9,28.82,1226193.0,0.6168440534090545,-0.2100000000000008,-2.990000000000002,Information Technology,0
AGN,2017-11-10,170.79,173.54,172.39,172.21,3251449.0,0.6597514943861033,-0.789999999999992,-11.580000000000013,Health Care,0
CTXS,2017-11-10,83.11,84.5,83.51,84.22,1250208.0,0.6176974483052851,0.1899999999999977,1.7999999999999972,Information Technology,1
SCG,2017-11-10,43.67,44.59,44.4,43.94,2392739.0,0.646258604360716,-0.6600000000000037,1.9699999999999989,Utilities,0
MTB,2017-11-10,157.06,159.28,158.6,157.1,726990.0,0.5938431766673448,-1.510000000000019,-8.669999999999987,Financials,0
CCL,2017-11-10,63.6,66.05,65.79,64.66,4344286.0,0.6725007400796265,-1.5200000000000102,1.6100000000000136,Consumer Discretionary,0
VIAB,2017-11-10,24.68,25.44,25.06,24.89,5252675.0,0.680855140061748,0.1099999999999994,0.0,Consumer Discretionary,1
ANSS,2017-11-10,149.205,150.54,150.14,150.28,315743.0,0.5571485887113962,-0.1899999999999977,14.870000000000005,Information Technology,0
TGT,2017-11-10,59.91,61.41,59.91,61.4,6851462.0,0.6925468177316453,1.5,1.0399999999999991,Consumer Discretionary,1
GOOGL,2017-11-10,1041.22,1046.63,1043.87,1044.15,970498.0,0.6065543927848857,-3.5699999999999363,5.120000000000118,Information Technology,0
HRS,2017-11-10,136.93,138.88,136.93,138.76,591805.0,0.584790983656308,1.1999999999999886,0.4099999999999966,Information Technology,1
TSS,2017-11-10,71.67,72.49,71.93,72.33,1126521.0,0.6131137956278161,0.0999999999999943,0.0900000000000034,Information Technology,1
PYPL,2017-11-10,73.56,74.14,73.77,73.98,5713749.0,0.6845571431459088,-0.1199999999999903,1.7199999999999989,Information Technology,0
FLR,2017-11-10,46.87,47.32,47.0,47.04,895273.0,0.6030045097686636,-0.009999999999998,3.109999999999999,Industrials,0
PSA,2017-11-10,209.18,212.2,211.11,211.52,736591.0,0.5944204486769297,0.1500000000000056,4.849999999999994,Real Estate,1
MAS,2017-11-10,38.44,38.76,38.49,38.61,2038408.0,0.6392068661326631,-0.009999999999998,-0.75,Industrials,0
LLL,2017-11-10,184.02,185.48,184.41,184.22,354804.0,0.5622805096089543,-0.539999999999992,-0.7900000000000205,Industrials,0
BLL,2017-11-10,39.94,40.27,40.23,39.98,2826219.0,0.6535845205799222,-0.3400000000000034,-2.3800000000000026,Materials,0
WLTW,2017-11-10,160.39,162.03,161.43,161.57,445712.0,0.5723170397272307,0.079999999999984,0.5800000000000125,Financials,1
UAA,2017-11-10,11.91,12.54,12.0,12.52,7865130.0,0.6986177000791346,0.5099999999999998,-0.0400000000000009,Consumer Discretionary,1
CERN,2017-11-10,64.93,65.56,65.31,65.31,1327855.0,0.6203486168897355,-0.1700000000000017,-0.0099999999999909,Health Care,0
L,2017-11-10,49.22,49.57,49.35,49.51,874225.0,0.6019577285810789,0.1699999999999946,-0.1999999999999957,Financials,1
CELG,2017-11-10,101.0,102.62,102.06,102.34,6473116.0,0.6900474651088826,-0.1199999999999903,1.9299999999999928,Health Care,0
PCLN,2017-11-10,1682.69,1709.52,1700.0,1697.25,724827.0,0.5937120715866426,-5.8900000000001,-209.91999999999985,Consumer Discretionary,0
RTN,2017-11-10,183.76,185.59,184.7,184.81,778279.0,0.5968427041499724,-0.1299999999999954,4.680000000000007,Industrials,0
CSX,2017-11-10,49.7699,50.38,49.97,50.08,3462412.0,0.6625174930657741,-0.1499999999999985,0.0799999999999983,Industrials,0
CVX,2017-11-10,117.18,117.31,117.18,117.18,5156596.0,0.680042879127374,-0.059999999999988,1.3399999999999892,Energy,0
UTX,2017-11-10,118.0,118.48,118.0,118.11,3122513.0,0.6579711706127344,-0.2600000000000051,-1.75,Industrials,0
FB,2017-11-10,177.96,179.1,178.35,178.46,11060355.0,0.7136182721207242,-0.8400000000000034,-3.359999999999985,Information Technology,0
ORCL,2017-11-10,48.745,49.37,49.0,49.32,9943056.0,0.7089326759413958,0.0799999999999983,-1.3999999999999986,Information Technology,1
KSU,2017-11-10,103.84,105.24,104.87,104.8,628986.0,0.5874719325174979,-0.4500000000000028,-0.2099999999999937,Industrials,0
CA,2017-11-10,32.07,32.45,32.15,32.45,1677410.0,0.6306306195315939,0.1900000000000048,-0.6700000000000017,Information Technology,1
EVHC,2017-11-10,24.45,25.83,25.73,24.95,4382257.0,0.6728836420491984,-0.7800000000000011,-2.3000000000000007,Health Care,0
DISCK,2017-11-10,15.86,16.28,16.06,16.12,2916734.0,0.6549715838276088,0.0199999999999995,-1.9899999999999984,Consumer Discretionary,1
AES,2017-11-10,10.0,10.29,10.25,10.23,26490467.0,0.7520479897370511,-0.0700000000000002,-0.2699999999999996,Utilities,0
EQT,2017-11-10,64.43,66.03,65.82,65.18,22746698.0,0.7453440486376254,-0.7299999999999898,3.878999999999998,Energy,0
FLIR,2017-11-10,46.23,46.875,46.23,46.74,616866.0,0.5866158328525903,0.3999999999999986,-0.2099999999999937,Information Technology,1
MS,2017-11-10,48.72,49.195,49.01,48.76,5436118.0,0.6823655338749,-0.0600000000000022,-0.8100000000000023,Financials,0
MAC,2017-11-10,62.1613,64.6275,62.22,64.37,5479291.0,0.6827135902211445,1.960000000000008,8.130999999999993,Real Estate,1
HCP,2017-11-10,26.76,27.36,26.85,27.01,3328422.0,0.6607809695444713,-0.009999999999998,1.356999999999999,Real Estate,0
DISCA,2017-11-10,17.045,17.335,17.23,17.19,3376764.0,0.6614154179889964,0.0199999999999995,-1.9899999999999984,Consumer Discretionary,1
XRAY,2017-11-10,64.65,65.6,65.21,65.58,1935996.0,0.6369388302356689,0.019999999999996,4.400000000000006,Health Care,1
NBL,2017-11-10,27.545,28.46,28.34,28.11,3410276.0,0.6618499267096483,-0.3399999999999998,0.0030000000000001,Energy,0
SNA,2017-11-10,155.21,156.96,156.17,155.87,357921.0,0.562665359631995,-0.9399999999999976,-1.5500000000000114,Consumer Discretionary,0
RHT,2017-11-10,122.85,124.56,123.05,124.18,1141718.0,0.6137033859181154,0.6800000000000068,2.239999999999995,Information Technology,1
CI,2017-11-10,196.9,198.545,197.56,197.98,991083.0,0.6074778893458627,0.4599999999999795,-0.3199999999999932,Health Care,1
ETFC,2017-11-10,42.86,43.35,43.12,42.92,1599495.0,0.6285378857819921,-0.1599999999999966,-0.4600000000000008,Financials,0
CXO,2017-11-10,142.51,145.06,144.31,143.21,830751.0,0.5997134326306858,-1.2199999999999989,4.170000000000016,Energy,0
PPL,2017-11-10,36.18,36.595,36.55,36.29,3733357.0,0.6658324991866714,-0.4699999999999988,-0.1799999999999997,Utilities,0
WYN,2017-11-10,104.77,106.61,106.58,106.07,1395097.0,0.6225221375784794,-0.8700000000000045,-0.2800000000000011,Consumer Discretionary,0
ANDV,2017-11-10,106.46,107.59,107.44,107.2,1468266.0,0.6247712963815424,0.2000000000000028,-2.2099999999999937,Energy,1
